Unnamed: 0;LVL;Kanji;Lecture ON;Lecture KUN;Signification
527;N2;案;アン;つくえ;proposition suggestion, plan, réflexion
528;N2;械;カイ;かせ;machine
529;N2;棒;ボウ;-;bâton, barre, baguette
530;N4;森;シン;もり;forêt, bois
531;N2;植;ショク;う.える;planter
532;N2;検;ケン;しら.べる;investigation, inspection, examen
533;N4;業;ギョウ, ゴウ;わざ;activité, profession
535;N2;極;キョク, ゴク;きわ.める;"pôles (Nord et Sud), arriver jusqu'au bout,
hautement"
536;N4;楽;ガク, ラク, ゴウ;たの.しい, たの.しむ;musique, agréable, confortable
537;N3;構;コウ;かま.う;s'inquiéter de, préoccupé, construction
538;N3;様;ヨウ;さま;apparence, manière, suffixe de nom (-sama)
539;N2;標;ヒョウ;しるべ, しるし;empreinte, marque, tampon
540;N3;権;ケン, ゴン;おもり, かり, はか.る;pouvoir, autorité
541;N3;横;オウ;よこ;à côté de, latéral
542;N2;橋;キョウ;はし;pont
543;N3;機;キ;はた;machine, opportunité
544;N3;欠;ケツ, ケン;か.く;manquer de, lacune
545;N3;次;ジ;つぎ;suivant, successif, ordre
546;N2;欧;オウ;うた.う, は.く;Europe
547;N3;欲;ヨク;ほ.しい;désir, convoitise, désirer, vouloir
548;N4;歌;カ;うた, うた.う;chant, chanter
549;N4;止;シ;と.まる, と.める, や.む;stopper, arrêter, s'arrêter
550;N4;正;セイ, ショウ;ただ.しい;juste, correct, exact, 10^40
551;N2;武;ブ, ム;たけ.し;chevalerie, guerre, militaire
552;N4;歩;ホ, ブ;ある.く;marcher
553;N3;歯;シ;は;dent
554;N3;歳;サイ, セイ;とし, とせ, よわい;âge, compteur d'années
555;N2;歴;レキ, レッキ;-;le temps qui passe, curriculum
556;N2;死;シ;し.ぬ;mourir, mort
557;N3;残;ザン, サン;のこ.る;rester, solde (sur un compte bancaire)
558;N3;段;ダン, タン;-;étape, rang, marche
559;N3;殺;サツ;ころ.す;tuer, massacrer
560;N2;殿;デン;との, どの;"manoir, demeure, palais, temple,
Monseigneur"
561;N5;母;ボ;はは;mère, maman
562;N5;毎;マイ;ごと;chaque, tous les
563;N2;毒;ドク;-;poison
564;N2;比;ヒ;くら.べる;comparer, proportion
565;N2;毛;モウ;け;poil, cheveux, plumage
566;N4;民;ミン;たみ;peuple, citoyen
567;N5;気;キ;いき;esprit, atmosphère, humeur
569;N5;水;スイ;みず;eau
570;N2;氷;ヒョウ;こおり, こお.る;glace, glacer
571;N2;永;エイ;なが.い;éternité, long en temps
572;N3;求;キュウ;もと.める;demander, vouloir, désirer
573;N2;汗;カン;あせ;sueur, transpiration
574;N2;汚;オ;"けが.れる, よご.れる,
きたな.い";sale, se salir, polluer, souiller
575;N4;池;チ;いけ;étang, mare, réservoir
576;N3;決;ケツ;き.める;décider, fixer
577;N2;沈;チン;しず.む;couler, être submergé, être déprimé, aloès
578;N2;河;カ;かわ;rivière, fleuve
579;N2;沸;フツ;わ.く;bouillir, porter à ébullition, chauffer
580;N2;油;ユウ;あぶら;huile
581;N3;治;ジ, チ;おさ.める;gouverner, diriger, soigner, maîtriser
582;N2;況;キョウ;まし.て, いわ.んや;condition, situation
583;N2;泉;セン;いずみ;source, fontaine
584;N2;泊;ハク;と.まる;passer la nuit, loger, séjour, ancrage
585;N3;法;ホウ;のり;loi, méthode, principe
586;N2;波;ハ;なみ;vague, onde
587;N2;泣;キュウ;な.く;pleurer, sangloter
588;N2;泤;デイ;どろ;boue, bourbe, voleur
589;N4;注;チュウ;そそ.ぐ;verser, note, commentaire
590;N3;泳;エイ;およ.ぐ;nager
591;N4;洋;ヨウ;-;océan, style occidental
592;N4;洗;セン;あら.う;laver, se laver
593;N3;活;カツ;い.きる, い.かす;vie, vitalité, vigueur, activité
594;N3;流;リュウ;なが.れる;s'écouler, courant, style
595;N2;浅;セン;あさ.い;peu profond, superficiel
596;N3;浮;フ;う.く, う.かれる;flotter, faire surface, se réjouir, s'amuser
597;N2;浴;ヨク;あ.びる;se baigner, se dorer (au soleil)
598;N4;海;カイ;うみ;mer, océan
599;N3;消;ショウ;き.える, け.す;éteindre, effacer
600;N2;涙;ルイ;なみだ;larme, émotion
601;N2;液;エキ;-;liquide, fluide, sécrétion
603;N3;深;シン;ふか.い;profond, intense, approfondir
604;N2;混;コン;ま.じる;mélanger, mêler, confusion
605;N2;清;セイ, ショウ;きよ.い, きよ.める;clair, limpide, purifier
606;N3;済;サイ, セイ;す.む, す.まない;finir, achever
607;N2;減;ゲン;へ.る;décliner, décroître
608;N3;渡;ト;わた.る;traverser, transiter, livrer, importer
609;N2;温;オン;"あたた.かい, あたた.め
る";chaud, réchauffer
610;N2;測;ソク;はか.る;mesurer, doser, plan
611;N3;港;コウ;みなと;port
612;N2;湖;コ;みずうみ;lac
613;N2;湯;トウ;ゆ;eau chaude
614;N2;湾;ワン;-;baie, golfe, crique
615;N2;湿;シツ, シュウ;しめ.る, うるお.う;humidité, moiteur, mouillé
616;N3;満;マン, バン;み.ちる;remplir, combler, satisfaire
617;N2;準;ジュン;"じゅん.じる, ひと.しい,
みずもり";demi-, quasi-, standard, se conformer à
618;N2;溶;ヨウ;と.ける;fondre, dissoudre
619;N2;滴;テキ;しずく, したた.る;goutte, s'écouler
620;N2;漁;ギョ, リョウ;あさ.る;pêcher
621;N3;演;エン;-;"représentation sur une scène, numéro
(spectacle)"
622;N4;漢;カン;-;Chine des Hans (ethnie majoritaire en Chine)
623;N2;濃;ノウ;こ.い;dense, concentré, épais
624;N2;濯;タク;すす.ぐ, ゆす.ぐ;laver, rincer, lessive
625;N5;火;カ;ひ;feu
626;N2;灯;トウ;ひ;lampe, lumière électrique
627;N2;灰;カイ;はい;cendre
628;N2;炭;タン;すみ;charbon de bois, charbon
629;N3;点;テン;つ.ける, た.てる;point, note, allumer
630;N2;無;ム, ブ;な.い;perdre, égarer, rien, négatif
631;N3;然;ゼン, ネン;しか, しか.り;état naturel, suffixe adverbial
632;N2;焼;ショウ;や.く, や.ける;griller, rôtir, brûler
633;N3;煙;エン;けむ.る, けむり;fumée
634;N2;照;ショウ;て.る;briller, illuminer, comparer
636;N3;熱;ネツ;あつ.い;chaleur, fièvre, température, passion
637;N2;燃;ネン;も.える;consumer, brûler, flamber
638;N2;燥;ソウ;はしゃ.ぐ;assécher, tarir, être joyeux, s'amuser
639;N2;爆;バク;は.ぜる;bombe, exploser, faire sauter
640;N5;父;フ;ちち;père, papa
