Unnamed: 0;LVL;Kanji;Lecture ON;Lecture KUN;Signification
804;N2;肩;ケン;かた;épaule
805;N2;肯;コウ;がえんじ.る;accord, consentement
806;N3;育;イク;そだ.てる, そだ.つ;élever, grandir
807;N2;胃;イ;-;estomac
808;N3;背;ハイ;せ, せい, そむ.く;"dos, arrière, taille (stature), rébellion,
désobéir"
809;N2;胸;キョウ;むね;poitrine
810;N3;能;ノウ;よ.く;capacité, talent, habile, théâtre Nô
811;N2;脂;シ;あぶら;gras, graisse
812;N2;脳;ノウ;-;cerveau
813;N2;腕;ワン;うで;bras, aptitude, capacité
814;N2;腰;ヨウ;こし;hanche, taille (pour une personne)
815;N3;腹;フク;はら;ventre, abdomen
816;N2;膚;フ;はだ;peau, texture
817;N2;臓;ゾウ;はらわた;viscères, entraille
818;N2;臣;シン, ジン;-;serviteur, vassal, sujet
819;N4;自;ジ, シ;みずか.ら;soi-même
820;N3;舞;ブ;ま.う;danser, tournoyer, voltiger, cercle
821;N2;舟;シュウ;ふね;bateau, navire, vaisseau
822;N2;航;コウ;-;navigation
823;N2;般;ハン;-;transporteur, général, global
824;N3;船;セン;ふね;navire, bateau
825;N3;良;リョウ;よ.い, い.い;satisfaisant, bien, bon, plaisant
826;N4;色;ショク, シキ;いろ;couleur
827;N5;花;カ;はな;fleur
828;N2;芸;ゲイ;う.える, のり;art, interprétation, habileté
829;N3;若;ジャク, ニャク, ニャ;"わか.い, も.しくわ, も.
し";jeune, immature, si, ou bien
830;N3;苦;ク;くる.しい, くる.しむ;peine, affliction, souffrir
831;N4;英;エイ;はなぶさ;brillant, talentueux, Angleterre, anglais
832;N4;茶;チャ;-;thé
833;N3;草;ソウ;くさ;herbe, végétation, plante
834;N2;荒;コウ;"あら.い, すさ.む, あ.れ
る";brutal, violent, endommager, dévaster
836;N2;荷;カ;に;chargement, fardeau, bagage
837;N2;菓;カ;-;gâteau, friandise
838;N4;菜;サイ;な;légume
839;N3;落;ラク;お.ちる, お.とす;"tomber, chuter, faire tomber, perdre (un
objet)"
840;N3;葉;ヨウ;は;feuille (végétal)
841;N2;著;チョ, チャク;"あらわ.す, いちじる.し
い";"exposer, publier, ouvrage littéraire,
remarquable"
842;N2;蒸;ジョウ, セイ;む.す;vapeur, dégager de la vapeur, étuver
843;N2;蔵;ゾウ, ソウ;"くら, おさ.める, かく.
れる";entrepôt, posséder, avoir, cacher
844;N2;薄;ハク;うす.い;fin, dilué, léger (au goût)
845;N4;薬;ヤク;くすり;médicament
846;N2;虫;チュウ, キ;むし;insecte
847;N2;血;ケツ;ち;sang
848;N5;行;コウ, ギョウ;い.く, ゆ.く, おこ.なう;aller, voyage
849;N3;術;ジュツ;すべ;technique, moyens, art
850;N2;衣;イ, エ;ころも, きぬ;vêtement, habillement
851;N3;表;ヒョウ;あらわ.す;surface apparente, paraître, montrer
852;N2;袋;タイ;ふくろ;sac, sacoche, mère
